task	style	model	run	emitted	graded	out_tokens	diff_lines
001-wrap-dispatch-in-else	braceless	qwen2.5:3b	1	conform	FAIL_COMPILE	75	13
001-wrap-dispatch-in-else	braceless	qwen2.5:3b	2	conform	PASS	74	11
001-wrap-dispatch-in-else	braceless	qwen2.5:3b	3	conform	FAIL_MISSCOPE	69	10
001-wrap-dispatch-in-else	braceless	qwen2.5:3b	4	conform	PASS	74	11
001-wrap-dispatch-in-else	braceless	qwen2.5:3b	5	conform	FAIL_MISSCOPE	69	10
001-wrap-dispatch-in-else	braceless	qwen2.5:3b	6	conform	FAIL_MISSCOPE	69	10
001-wrap-dispatch-in-else	braces	qwen2.5:3b	1	conform	FAIL_MISSCOPE	70	8
001-wrap-dispatch-in-else	braces	qwen2.5:3b	2	conform	PASS	80	15
001-wrap-dispatch-in-else	braces	qwen2.5:3b	3	conform	PASS	80	15
001-wrap-dispatch-in-else	braces	qwen2.5:3b	4	conform	FAIL_COMPILE	72	10
001-wrap-dispatch-in-else	braces	qwen2.5:3b	5	conform	PASS	77	12
001-wrap-dispatch-in-else	braces	qwen2.5:3b	6	conform	FAIL_COMPILE	72	10
001-wrap-dispatch-in-else	common	qwen2.5:3b	1	na	FAIL_COMPILE	76	14
001-wrap-dispatch-in-else	common	qwen2.5:3b	2	na	FAIL_MISSCOPE	69	10
001-wrap-dispatch-in-else	common	qwen2.5:3b	3	na	PASS	74	11
001-wrap-dispatch-in-else	common	qwen2.5:3b	4	na	FAIL_MISSCOPE	69	10
001-wrap-dispatch-in-else	common	qwen2.5:3b	5	na	PASS	76	12
001-wrap-dispatch-in-else	common	qwen2.5:3b	6	na	PASS	75	13
002-wrap-scan-medium	braceless	qwen2.5:3b	1	conform	FAIL_MISSCOPE	99	16
002-wrap-scan-medium	braceless	qwen2.5:3b	2	conform	FAIL_MISSCOPE	99	16
002-wrap-scan-medium	braceless	qwen2.5:3b	3	conform	FAIL_MISSCOPE	99	16
002-wrap-scan-medium	braceless	qwen2.5:3b	4	conform	FAIL_MISSCOPE	98	16
